impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-181332,A732757,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2971277,LOST,Lulu,Dog,Over 1 year<p/>,Female,Boxer,Brown,"Jul 27, 2025",Date Lost,NE  BEL-RED AND 158TH PL ME,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2971277,Image Copyright HLP Inc. 2025,"Description: 2 y.o. boxer female, Brendan breed, very friendly.<p/>Age: Over 1 year<p/>Location Lost: NE Bel-Red and 158th Pl ME, Bellevue WA  98008<p/>Lost Date: 2025-07-27<p/>",
K25-181086,A732312,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2968291,LOST,Yuki,Cat,Under 1 year<p/>,Male,British Shorthair,White,"Jul 18, 2025",Date Lost,SE  173rd St & 127th Ave SE,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2968291,Image Copyright HLP Inc. 2025,"Description: White cat with blue eyes and gray stripes on his tail <p/>Age: Under 1 year<p/>Location Lost: 173rd St and 127th avenue , Renton WA  98058<p/>Lost Date: 2025-07-18<p/>",
K25-181617,A733324,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2974311,LOST,Tank,Dog,Over 1 year<p/>,Male,Rottweiler,Black,"Aug 04, 2025",Date Lost,2100 block of  52ND AVE SW,Seattle,,98116,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2974311,Image Copyright HLP Inc. 2025,"Description: 86lbs, black and tan, tall and skinny, curled tail, has all dew claws, floppy ears, has all shots, no collar on<p/>Age: Over 1 year<p/>Location Lost: 2109 52nd Ave SW, Seattle WA  98116<p/>Lost Date: 2025-08-04<p/>",
K25-181294,A732669,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2970793,LOST,Leo,Cat,Under 1 year<p/>,Male,Ragdoll,Brown,"Jul 23, 2025",Date Lost,92ND  AND 212 GRAHAM,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2970793,Image Copyright HLP Inc. 2025,"Description: Basic Siamese ragdoll markings with both front paws marked with identical, white tips<p/>Age: Under 1 year<p/>Location Lost: 92nd and 212 graham, Graham WA  98338<p/>Lost Date: 2025-07-23<p/>",
K25-181195,A732520,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Linen,Cat,11 WEEKS,Spayed Female,Domestic Longhair,Blk Tabby / White,"Jul 23, 2025",Received on,800 block of  CENTRAL AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732520,Image Copyright HLP Inc. 2025,Received on: 2025-07-23<p/> Found Near: 800 block of  CENTRAL AVE S<p/> Description: Blk Tabby / White Spayed Female Domestic Longhair Cat<p/> Age: 11 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-181608,A733301,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2974172,In Public Home,Cat,Cat,Unknown<p/>,Female,American Shorthair,Unknown,"Jul 01, 2025",Date Found,179TH  & 43RD AVE S SEATAC,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2974172,Image Copyright HLP Inc. 2025,"Description: Grey and white mostly grey . Had a cloth  collar light worn flowered color . Very sweet cat friendly.  On my Ring camera even at night off and on . <p/>Age: Unknown<p/>Found Near: 179th & 43rd ave S seatac , Seattle WA  98188<p/>Found Date: 2025-07-01<p/>",
K25-180488,A731447,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2961056,LOST,Goose,Cat,Over 1 year<p/>,Female,American Shorthair,Black,"Jul 03, 2025",Date Lost,SE  170th St & 194th Ave SE,King County,,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2961056,Image Copyright HLP Inc. 2025,"Description: Solid Black cat, bright green eyes with all white whiskers. She has small ears compared to her body size<p/>Age: Over 1 year<p/>Location Lost: SE 170th st and 194th st SE, Renton WA  98058<p/>Lost Date: 2025-07-03<p/>",
K25-181451,A733019,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2972555,LOST,Dobby,Dog,Over 1 year<p/>,Female,Soft-Coated Wheaten Terrier,White,"Jul 30, 2025",Date Lost,2200 block of  164TH AVE CT E,Lake Tapps,,98391,PIERCE COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2972555,Image Copyright HLP Inc. 2025,"Description: White terrier mix dog male. <p/>Age: Over 1 year<p/>Location Lost: 2204 164th Avenue Ct E Lake Tapps WA 98391 United States, Bonney Lake WA  98391<p/>Lost Date: 2025-07-30<p/>",
K25-181104,A732340,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2968617,In Public Home,Unknown,Dog,Over 1 year<p/>,Female,Australian Cattle Dog,Brown,"Jul 20, 2025",Date Found,SE  10th Pl & 148th Dr SE,Bellevue,,98007,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2968617,Image Copyright HLP Inc. 2025,"Description: Small brown dog with no collar. Long scar down right leg and slight limp on left leg.<p/>Age: Over 1 year<p/>Found Near: 10th and 148th, Bellevue, Bellevue WA  98007<p/>Found Date: 2025-07-20<p/>",
K25-179679,A730088,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Sky,Dog,6 YEARS 1 MONTH,Spayed Female,German Shepherd,Black / Tan,"Jun 11, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,BELLEVUE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A730088,Image Copyright HLP Inc. 2025,"Received on: 2025-06-11<p/> Description: Black / Tan Spayed Female German Shepherd Dog<p/> Age: 6 YEARS 1 MONTH<p/> Adoption Fee: $250.00<p/> Current Location: In RASKC Foster Home <p/>Sky is a sweet and lovable girl. She is potty trained and is taking well to crate training (we think she may have prior experience with it). She is very smart, a quick learner, and she enjoys stimulating activities like fetch and puzzle toys. She is also quite a nervous girl, so she would do best in a calm home as the only dog. She is more than worth the care and patience to win her love and devotion!<p/>",
K25-180118,A730881,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957101,LOST,Princess,Dog,Over 1 year<p/>,Female,Shih Tzu,Black,"Jun 24, 2025",Date Lost,,,,,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957101,Image Copyright HLP Inc. 2025,"Description: Mostly black with some white and a little bit of brown small shih tzu and chihuahua mixed name is princess very friendly  fluffy curly fur no collar not micro chipped <p/>Age: Over 1 year<p/>Location Lost: 11116 se 238th pl apt I-03 Kent wa , Kent WA  98031<p/>Lost Date: 2025-06-24<p/>",
K25-180473,A731396,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960715,LOST,Bruno,Dog,Over 1 year<p/>,Male,Shih Tzu,Unknown,"Jul 02, 2025",Date Lost,Oasis  Home Church,,,,BURIEN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960715,Image Copyright HLP Inc. 2025,"Description: Blonde small and fluffy shitzu <p/>Age: Over 1 year<p/>Location Lost: Home, Auburn WA  98001<p/>Lost Date: 2025-07-02<p/>",
K25-180779,A731848,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A731848,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Miney,Cat,12 WEEKS,Female,Domestic Shorthair,Torbie / White,"Jul 11, 2025",Received on,24500 block of  RUSSELL RD S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731848,Image Copyright HLP Inc. 2025,"Received on: 2025-07-11<p/> Found Near: 24500 block of  RUSSELL RD S<p/> Description: Torbie / White Female Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180408,A731323,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960092,LOST,Kimmie,Dog,Over 1 year<p/>,Female,Border Collie,Unknown,"Jul 01, 2025",Date Lost,29500 block of  112TH AVE SE,Auburn,,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960092,Image Copyright HLP Inc. 2025,"Description: Black and White super friendly.  <p/>Age: Over 1 year<p/>Location Lost: 29502 112TH AVE SE, Auburn WA  98092<p/>Lost Date: 2025-07-01<p/>",
K25-180294,A731108,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958609,LOST,Bean,Dog,Unknown<p/>,Female,Chihuahua - Smooth Coated,Unknown,"Jun 28, 2025",Date Lost,EDMONDS  AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958609,Image Copyright HLP Inc. 2025,"Description: 20 pounds. Black tall chihuahua<p/>Age: Unknown<p/>Location Lost: Edmonds Ave NE, Renton WA  98056<p/>Lost Date: 2025-06-28<p/>",
K25-180345,A731198,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2959419,LOST,Steve,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Jun 30, 2025",Date Lost,WOODLAND  PARK AVE N & ALLEN,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2959419,Image Copyright HLP Inc. 2025,"Description: Ginger cat with white paws and belly and a noticeable tummy pouch. Chipped but no collar.<p/>Age: Over 1 year<p/>Location Lost: Woodland Park Ave N & Allen, Seattle WA  98103<p/>Lost Date: 2025-06-30<p/>",
K25-180344,A731174,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2959382,In Public Home,,Dog,Unknown<p/>,Unknown,American Pit Bull Terrier,Unknown,"Jun 29, 2025",Date Found,15100 block of  SE 38TH ST,Bellevue,,98006,BELLEVUE,47.576664,-122.137261,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2959382,Image Copyright HLP Inc. 2025,"Description: female, approximately 1 year old, very sweet, no microchip <p/>Age: Unknown<p/>Found Near: 15100 block of  SE 38TH ST<p/>Found Date: 2025-06-29<p/>",
K25-180411,A731330,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960168,LOST,Boz,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,"Jun 30, 2025",Date Lost,169th  Ave NE & NE 2nd Pl,Bellevue,,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960168,Image Copyright HLP Inc. 2025,"Description: Black Tuxedo with white face,  white underbelly, four white paws, lynx-like tips on the ears, and knot near end of tail. Wallflower behavior.  No collar when Lost (adept at taking it off). Approx. 12-15 lbs.<p/>Age: Over 1 year<p/>Location Lost: 169th Ave. NE and NE2nd Place, Bellevue WA  98008<p/>Lost Date: 2025-06-30<p/>",
