impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-181227,A732556,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2969989,LOST,,Dog,Over 1 year<p/>,Female,Siberian Husky,Brown,"Jul 24, 2025",Date Lost,21200 block of  84TH AVE S,Kent,,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2969989,Image Copyright HLP Inc. 2025,"Description: Pitsky pit bull husky mix. She is brown with blue eyes. She has a short coat like a pit bull. She has a bright orange collar on here neck. Her name is pretty girl. She got out my car at arco without me noticing. Please call me if you see her. She is not aggressive pretty friendly.<p/>Age: Over 1 year<p/>Location Lost: 21214 84th Ave S,, Kent WA  98032<p/>Lost Date: 2025-07-24<p/>",
K25-180871,A731986,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2966121,In Public Home,,Cat,Under 1 year<p/>,Male,American Shorthair,Unknown,"Jul 14, 2025",Date Found,132nd  Ave SE & SE 248th St,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2966121,Image Copyright HLP Inc. 2025,"Description: Grey kitten, yellow eyes<p/>Age: Under 1 year<p/>Found Near: 132nd street and SE 248th street, Kent WA  98030<p/>Found Date: 2025-07-14<p/>",
K25-181423,A732974,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732974,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ozzy,Cat,1 YEAR,Male,Domestic Mediumhair,Gray Tabby / White,"Jul 30, 2025",Received on,18900 block of  240TH AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732974,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 18900 block of  240TH AVE SE<p/> Description: Gray Tabby / White Male Domestic Mediumhair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181289,A732656,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2970631,LOST,Prince,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jul 24, 2025",Date Lost,RAN  OUT OF HOUSE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2970631,Image Copyright HLP Inc. 2025,"Description: He is overweight a grey tabby colour, has green eyes with a m shaped strip on his head, nails are not clipped, responds a high whistle and three tongue clicks and then prince. Neutered <p/>Age: Over 1 year<p/>Location Lost: Ran out of house , Langley BC  V3A 4T8<p/>Lost Date: 2025-07-24<p/>",
K25-180316,A731141,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958954,LOST,Pumpkin,Cat,Over 1 year<p/>,Male,Tiffany,Unknown,"Jun 24, 2025",Date Lost,48100 block of  SE 127TH ST,,,98045,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958954,Image Copyright HLP Inc. 2025,"Description: Our cat is a big orange Tabby with a white chest, 12 years old. He has in the past not come home, he's been gone 5 days now. Male, 12 years old<p/>Age: Over 1 year<p/>Location Lost: 48102 SE 127TH ST, North Bend WA  98045<p/>Lost Date: 2025-06-24<p/>",
K25-180741,A731814,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964688,LOST,,Dog,Unknown<p/>,Unknown,Miniature Poodle,Brown,"Jul 10, 2025",Date Lost,KB  HOMES JENKINS LANDING 265TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964688,Image Copyright HLP Inc. 2025,"Description: Small brown dog with short fluffy or curly fur. Maybe a short tail.<p/>Age: Unknown<p/>Location Lost: KB homes Jenkins landing 265th street, Kent WA  98042<p/>Lost Date: 2025-07-10<p/>",
K25-181458,A733026,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Gray Tabby / White,"Jul 31, 2025",Received on,25400 block of  LAKE FENWICK RD S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733026,Image Copyright HLP Inc. 2025,Received on: 2025-07-31<p/> Found Near: 25400 block of  LAKE FENWICK RD S<p/> Description: Gray Tabby / White Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-180513,A731489,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2961770,In Public Home,Cinna,Dog,Over 1 year<p/>,Male,Pit Bull,Unknown,"Jul 04, 2025",Date Found,1200 block of  S PUGET DR,Renton,,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2961770,Image Copyright HLP Inc. 2025,Description: Name Is cinna. Owners were contacted through the microchip company (24 hour pet watch). Just under 12 years old. <p/>microchip # 0A13535253<p/>Unable to contact owners.<p/>My friend is keeping him for a day before bringing him to raskc.<p/>Anyone missing this dog? <p/>Found at heritage Hill apartments in Renton. 1250 S Puget Dr.<p/>Looks like it has a cut under its chin (you can see some drops of blood in the photo on the front paw.<p/>Friendly. <p/>No collar.<p/>Age: Over 1 year<p/>Found Near: 1200 block of  S PUGET DR<p/>Found Date: 2025-07-04<p/>,
K25-181087,A732313,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2968306,LOST,Sprite,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jul 19, 2025",Date Lost,S  Austin St & Beacon Ave S,Seattle,,98108,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2968306,Image Copyright HLP Inc. 2025,"Description: My gray and white tuxedo cat named Sprite slipped out through my screen door the afternoon of Friday, 7/19 and is now missing. She was last seen near Austin St & Beacon Ave S in South Beacon Hill, Seattle. I am heartbroken and hope she comes home. If you see her, please contact me ASAP.<p/><p/>Details about Sprite:<p/><p/>Indoor-only cat, never been outside before<p/>Microchipped<p/>Gray and white tuxedo coloring<p/>One white paw and one gray paw (left side)<p/>No Collar<p/>Very friendly but likely scared and hiding<p/>Age: Over 1 year<p/>Location Lost: Austin St and Beacon Ave S, Seattle WA  98108<p/>Lost Date: 2025-07-19<p/>",
K25-181442,A733003,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733003,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Doro,Cat,9 WEEKS,Spayed Female,Domestic Longhair,Brn Tabby,"Jul 30, 2025",Received on,6800 block of  S 116TH PL,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733003,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 6800 block of  S 116TH PL<p/> Description: Brn Tabby Spayed Female Domestic Longhair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180668,A731727,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964129,LOST,Bacca,Cat,Over 1 year<p/>,Male,Siamese,Black,"Jul 09, 2025",Date Lost,3800 block of  NE 155th Pl,Lake Forest Park,,98155,LAKE FOREST PAR,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964129,Image Copyright HLP Inc. 2025,"Description: Black / green eyes<p/>Age: Over 1 year<p/>Location Lost: 3825 ne 155 th pl, Seattle WA  98155<p/>Lost Date: 2025-07-09<p/>",
K25-181414,A732969,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732969,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Talis,Cat,2 YEARS,Male,Domestic Shorthair,Gray Tabby,"Jul 30, 2025",Received on,31000 block of  157TH PL SE,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732969,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 31000 block of  157TH PL SE<p/> Description: Gray Tabby Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180222,A730993,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957882,LOST,Thomas/ Tomm,Cat,Over 1 year<p/>,Male,Scottish Fold,Unknown,"Jun 26, 2025",Date Lost,29200 block of  Military Rd S,Federal Way,,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957882,Image Copyright HLP Inc. 2025,"Description: Grey long fur Scottish straight male, very friendly but skittish.<p/>Age: Over 1 year<p/>Location Lost: 29225 Military road , Federal Way WA  98003<p/>Lost Date: 2025-06-26<p/>",
K25-181507,A733127,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733127,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Kingsley,Lionhead,NO AGE,Male,Lionhead,Black / Gray,"Aug 01, 2025",Received on,6300 block of  S 236TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733127,Image Copyright HLP Inc. 2025,"Received on: 2025-08-01<p/> Found Near: 6300 block of  S 236TH ST<p/> Description: Black / Gray Male Lionhead Lionhead<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181625,A733178,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A733178,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Male,Terrier / Mix,White / Tan,"Aug 04, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733178,Image Copyright HLP Inc. 2025,"Received on: 2025-08-04<p/> Description: White / Tan<p/>  Male Terrier / Mix Dog<p/> Age: NO AGE<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K25-181486,A733081,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733081,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Soleil,Cat,9 WEEKS,Spayed Female,Domestic Shorthair,Tortie / White,"Jul 31, 2025",Received on,20200 block of  SE 206TH ST,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733081,Image Copyright HLP Inc. 2025,"Received on: 2025-07-31<p/> Found Near: 20200 block of  SE 206TH ST<p/> Description: Tortie / White Spayed Female Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181096,A732326,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A732326,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Miko,Dog,4 YEARS,Spayed Female,German Shepherd,Black / Tan,"Jul 20, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732326,Image Copyright HLP Inc. 2025,"Received on: 2025-07-20<p/> Description: Black / Tan<p/>  Spayed Female German Shepherd Dog<p/> Age: 4 YEARS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Miko and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 07/20/25.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy, I love to play, but most of all I love to sniff! Giving me toys and puzzles to make me work my nose is a great way to keep my mind sharp and occupied.<p/><p/>I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>I would do best in a home that can spend time allowing me to warm up, and spend some time training me!<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be! I can also be a bit shy when meeting new people so please go slow with me and allow me some time to warm up.<p/>",
K25-180116,A730879,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957095,LOST,Yameko,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Brown,"Jun 22, 2025",Date Lost,6000 block of  51ST AVE S,Seattle,,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957095,Image Copyright HLP Inc. 2025,"Description: Black/brown tabby male. Bushy raccoon -type tail. Yellow green eyes. 11 lbs<p/>Age: Over 1 year<p/>Location Lost: 6011 51st Ave South, Seattle WA  98118<p/>Lost Date: 2025-06-22<p/>",
K25-180790,A731861,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A731861,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Percy,Dog,6 YEARS,Neutered Male,Pit Bull,Black,"Jul 11, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731861,Image Copyright HLP Inc. 2025,"Received on: 2025-07-11<p/> Description: Black<p/>  Neutered Male Pit Bull Dog<p/> Age: 6 YEARS<p/> Adoption Fee: $100<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Percy and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on [date].<p/><p/>I weigh 34lbs, but I need to gain weight. I am considered a ""medium breed"" dog.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",
K25-180929,A732132,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2966889,LOST,Otis,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Jul 15, 2025",Date Lost,2600 block of  118TH AVE SE,Bellevue,,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2966889,Image Copyright HLP Inc. 2025,"Description: Black, tall, long limbs, long tail, smooth coat that kind of sticks out in spikes. Very friendly, wary of strangers.<p/>Age: Over 1 year<p/>Location Lost: 2630 118th Ave SE, Bellevue WA  98005<p/>Lost Date: 2025-07-15<p/>",
K25-181409,A732960,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2972315,LOST,Sassy,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Black,"Jul 30, 2025",Date Lost,10700 block of  SE 238TH ST,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2972315,Image Copyright HLP Inc. 2025,"<p/>Age: Under 1 year<p/>Location Lost: 10705 SE 238th St, Apt 4, Kent WA  98031<p/>Lost Date: 2025-07-30<p/>",
K25-181173,A732480,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2969464,LOST,Nutmeg,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"Jul 16, 2025",Date Lost,13th  Ave SW & SW Myrtle St,Seattle,,98106,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2969464,Image Copyright HLP Inc. 2025,"Description: Short hair calico/tortie  Very friendly, on the smaller side <p/>Age: Over 1 year<p/>Location Lost: 13th Ave SW and SW Myrtle , Seattle WA  98106<p/>Lost Date: 2025-07-16<p/>",
K25-181504,A733123,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733123,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dipper,Cat,9 WEEKS,Male,Domestic Shorthair,Brn Tabby,"Aug 01, 2025",Received on,22500 block of  285TH AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733123,Image Copyright HLP Inc. 2025,"Received on: 2025-08-01<p/> Found Near: 22500 block of  285TH AVE SE<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181060,A732279,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2967894,LOST,Koa Roo,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jul 16, 2025",Date Lost,116th  Ave SE & SE Petrovitsky Rd,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2967894,Image Copyright HLP Inc. 2025,"Description: 10 yr old gray tabby. Fur is thin on her back legs and belly. Green/gold eye color. <p/>Age: Over 1 year<p/>Location Lost: 116th Ave SE and Petrovitsky , Renton WA  98055<p/>Lost Date: 2025-07-16<p/>",
K25-181255,A727191,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Champ,Dog,1 YEAR 4 MONTHS,Neutered Male,American Pit Bull Terrier,Br Brindle / White,"Apr 22, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A727191,Image Copyright HLP Inc. 2025,"Received on: 2025-04-22<p/> Description: Br Brindle / White Neutered Male American Pit Bull Terrier Dog<p/> Age: 1 YEAR 4 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Champ and I am available for adoption.<p/><p/>I have become a staff and volunteer favorite here at the shelter due to my lovable, endearing personality.<p/><p/>I enjoy going for long walks but would also make a great snuggle buddy at home.<p/><p/>I love to play with other dogs! When meeting dogs in the home, I would do best with a slow introduction.<p/><p/>I weigh 62.5 lbs and am considered a large breed dog.<p/>",
K25-181287,A732653,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A732653,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mickey,Dog,2 YEARS,Neutered Male,Pit Bull / Labrador Retriever,Black / White,"Jul 25, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732653,Image Copyright HLP Inc. 2025,"Received on: 2025-07-25<p/> Description: Black / White<p/>  Neutered Male Pit Bull / Labrador Retriever Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $150<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Mickey and I am available for adoption.<p/><p/>I was brought in by my previous owner on July 25, 2025 because they were facing homelessness. I lived in a home with men, women, children, cats and dogs. My previous owner described me as very friendly, a great watchdog and likes to keep busy!<p/><p/>I weigh 51.5 lbs and am considered a ""large breed"" dog.<p/><p/>I haven't been at RASKC for long, but have been the sweetest since the first day per my caregivers :)<p/><p/>I am treat motivated and am super affectionate!<p/><p/>I am full of energy and strength! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",
K25-181243,A732571,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,10 WEEKS,Male,Domestic Longhair,Org Tabby / White,"Jul 24, 2025",Received on,33900 block of  55TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732571,Image Copyright HLP Inc. 2025,Received on: 2025-07-24<p/> Found Near: 33900 block of  55TH AVE S<p/> Description: Org Tabby / White Male Domestic Longhair Cat<p/> Age: 10 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-180286,A731087,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958346,LOST,Olive “kitty,Cat,Over 1 year<p/>,Female,Domestic Longhair,Unknown,"Jun 26, 2025",Date Lost,300 block of  S St SE,Auburn,,98002,OTHER,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958346,Image Copyright HLP Inc. 2025,"Description: She is a Tuxedo cat with white mittens and green eyes. She is roughly 10 years old. Last seen 12:00 AM on our front porch. <p/>Age: Over 1 year<p/>Location Lost: 37th Ave S, Seattle WA  98168<p/>Lost Date: 2025-06-26<p/>",
K25-181315,A721588,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Snoopy,Rabbit Sh,9 MONTHS,Spayed Female,Rabbit Sh,White,"Dec 19, 2024",Received on,21615 64TH AVE S,KENT,WA,98032,TUKWILA,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A721588,Image Copyright HLP Inc. 2025,"Received on: 2024-12-19<p/> Description: White Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 9 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Snoopy and I`m a rabbit who is looking for a forever home with my bonded friend named Raboot.<p/><p/>I am looking for someone who can provide us with plenty of love and attention. We love to snuggle each other but theres room for you too!<p/><p/>We are gentle souls who like to take things slow. I am the shy one and Raboot is the outgoing one. My foster mom tells me Im sooooooo soft and so sweet. I have super soft, plush Rex fur. I love to follow Raboot on his explorations and would love a home with lots of space for us.<p/><p/>We are currently with a foster - Please submit an adoption interest form and our foster parent will be in touch with you!<p/>",
K25-180482,A731440,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2960944,LOST,Yuna,Dog,Over 1 year<p/>,Female,Bluetick Hound,White,"Jul 03, 2025",Date Lost,14400 block of  Juanita Dr NE,Kenmore,,98028,KENMORE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2960944,Image Copyright HLP Inc. 2025,"Description: Black and white mid sized dog Lost near St Edwards state park<p/>Age: Over 1 year<p/>Location Lost: 14445 Juanita Dr NE, Kenmore, WA 98028, Kenmore WA  98028<p/>Lost Date: 2025-07-03<p/>",
K25-181251,A732584,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Valero,Cat,9 WEEKS,Spayed Female,Domestic Longhair,Gray,"Jul 24, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732584,Image Copyright HLP Inc. 2025,"Received on: 2025-07-24<p/> Description: Gray Spayed Female Domestic Longhair Cat<p/> Age: 9 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Valero and I am available for adoption.<p/><p/>I was brought in by a good samaritan on July 24, 2025 along with my sister Sinclair (A732585)<p/><p/>I haven't had the most human interaction before arriving to RASKC so I can be quite timid. I am looking for a patient family that understands I am still learning to trust people. Because of my shy nature, I would do best in a calm, quiet home. When I go to my new home it is important to be patient with me and allow me time to acclimate to my new environment at my own speed. It is best to keep me in a smaller, quiet room, with my food, bed, and litterbox until I am comfortable and confident enough to start exploring the rest of my home.<p/><p/>I am a gentle and spirited kitten. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",
K25-180558,A731546,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2962621,In Public Home,,Dog,Unknown<p/>,Male,Miniature Poodle,Black,"Jul 06, 2025",Date Found,Thornton  Creek Park at NE 130th,,,,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2962621,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Found Near: 130th & 9th NE, Bellevue WA  98005<p/>Found Date: 2025-07-06<p/>",
K25-181232,A732558,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2970011,LOST,Girl,Dog,Over 1 year<p/>,Female,Pit Bull,Brown,"Jul 24, 2025",Date Lost,S  212th St & 84th Ave S,Kent,,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2970011,Image Copyright HLP Inc. 2025,"Description: Pit bull husky mix. She is brown with blue eyes she has a chip and a loving home with a orange rubber collar around her neck.. she is microchipped <p/>Age: Over 1 year<p/>Location Lost: 212th and 84th street , Kent WA  98032<p/>Lost Date: 2025-07-24<p/>",
K25-180133,A730899,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2957317,LOST,Umi,Cat,Over 1 year<p/>,Male,Norwegian Forest Cat,Unknown,"Jun 23, 2025",Date Lost,12th  Ave SW & SW Cloverdale St,Seattle,,98106,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2957317,Image Copyright HLP Inc. 2025,"Description: Umi is a very friendly, large cat. He loves to jump into peoples cars. <p/>Age: Over 1 year<p/>Location Lost: 12th Ave sw and cloverdale , Seattle WA  98106<p/>Lost Date: 2025-06-23<p/>",
